brand,title,type,price,available,sold,total_sale,country,state,city,month,day,year,date,weekday,is_weekend
Avon,Avon Perceive 3.4oz Men's Eau de Cologne Lot Of 4 Fast- Free Shpping,Eau de Cologne,51.49,10,37,1905.13,United States,Puerto Rico,Humacao,1.0,8,2024,2024-01-08,Monday,0
Chanel,CHANEL ALLURE HOMME SPORT EDT 1.5ml .05fl oz x 4 SPRAY SAMPLE VIALS,Eau de Toilette,22.0,10,286,6292.0,United States,New York,Albany,1.0,10,2024,2024-01-10,Wednesday,0
BURBERRY,"BURBERRY HER Eau De Parfum FOR WOMEN Mini .16oz, 5ml /FREE TRAVEL SPRAY",Eau de Parfum,17.89,10,360,6440.4,United States,Florida,West Palm Beach,1.0,18,2024,2024-01-18,Thursday,0
Miraclelayer,Miraclelayer CETALOX  EDP 50ml (a real perfume),Eau de Parfum,27.0,10,61,1647.0,United States,New York,Hicksville,1.0,24,2024,2024-01-24,Wednesday,0
Calvin Klein,Obsession Perfume by Calvin Klein - 3.3 / 3.4 oz / 100 ml EDP Spray New In Box,Eau de Parfum,24.65,10,615,15159.75,United States,California,Poway,1.0,29,2024,2024-01-29,Monday,0
HERMÈS,Jour D'hermes by Hermes EDP for Women 2.87 oz / 85 ml *NEW IN SEALED BOX*,Eau de Parfum,64.99,10,123,7993.77,United States,Florida,Miami,2.0,8,2024,2024-02-08,Thursday,0
HERMÈS,Un Jardin Sur Le Nil by Hermes EDT for Women 1.6 oz / 50 ml *NEW IN SEALED BOX*,Eau de Toilette,49.99,10,35,1749.65,United States,Florida,Miami,2.0,8,2024,2024-02-08,Thursday,0
HERMÈS,H24 by Hermes EDT for Men 1.7 oz / 50 ml *NEW IN BOX*,EDT,39.99,10,40,1599.6,United States,Florida,Miami,2.0,8,2024,2024-02-08,Thursday,0
Lancôme,La Vie Est Belle INTENSEMENT by Lancome EDP for Women 3.4 oz /100ml *NEW IN BOX*,Eau de Parfum,74.99,10,160,11998.4,United States,Florida,Miami,2.0,14,2024,2024-02-14,Wednesday,0
Giorgio Armani,My Way  by Giorgio Armani EDP for Women 1.7 oz / 50ml *NEW IN BOX*,Eau de Parfum,50.99,10,27,1376.73,United States,Florida,Miami,2.0,15,2024,2024-02-15,Thursday,0
Giorgio Armani,My Way Intense by Giorgio Armani EDP for Women 1.7 oz / 50ml *NEW IN BOX*,Eau de Parfum,54.99,10,40,2199.6,United States,Florida,Miami,2.0,15,2024,2024-02-15,Thursday,0
HERMÈS,Un Jardin Sur La Lagune By Hermes EDT For Women 3.3 oz / 100 ml *NEW IN BOX*,Eau de Toilette,67.99,10,110,7478.9,United States,Florida,Miami,2.0,15,2024,2024-02-15,Thursday,0
Dana,Women TABU by DANA 2.3 oz EDC Spray New In Box (NOT 3.0),Eau de Cologne,14.99,10,647,9698.53,United States,Florida,Orlando,2.0,16,2024,2024-02-16,Friday,0
Burberry,BURBERRY BODY EDP 2.0ml .06fl oz x 5 PERFUME SPRAY SAMPLE VIALS,Eau de Parfum,10.0,10,150,1500.0,United States,New York,Albany,2.0,18,2024,2024-02-18,Sunday,1
Salvatore Ferragamo,Incanto Charms by Salvatore Ferragamo for women EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,17.79,15,2177,38728.83,United States,Texas,Dallas,2.0,20,2024,2024-02-20,Tuesday,0
Yves Saint Laurent,YSL YVES SAINT LAURENT LIBRE EDP 1.2ml .04fl oz x 1 PERFUME SPRAY SAMPLE VIAL,Eau de Parfum,7.5,10,171,1282.5,United States,New York,Albany,2.0,21,2024,2024-02-21,Wednesday,0
Claude Marsal,Lá Melodie Parfum,Perfume,180.0,0,9,1620.0,United States,Florida,Orlando,2.0,21,2024,2024-02-21,Wednesday,0
Philosophy,Philosophy Pure Grace Eau De Parfum EDP Spray for Women  2 oz NEW SEALED BOX,Eau de Parfum,38.99,10,103,4015.97,United States,New York,Brooklyn,2.0,21,2024,2024-02-21,Wednesday,0
